Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
R2510B;MINISTERUL FINANTELOR;RO67Z7X0XG90;MINISTERUL  FINANTELOR;8609468;2574303;100;257430300;16.10.2024;17.10.2024;16.10.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2512A;MINISTERUL FINANTELOR;RORE7V23P540;MINISTERUL  FINANTELOR;8609468;2106639;100;210663900;22.12.2022;23.12.2022;22.12.2025;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2512AE;MINISTERUL FINANTELOR PUBLICE;ROV1AN91PRA1;MINISTERUL  FINANTELOR;8609468;2886484;100;288648400;04.12.2020;07.12.2020;04.12.2025;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2512B;MINISTERUL FINANTELOR;RO4X6QYUB4M5;MINISTERUL  FINANTELOR;8609468;2222442;100;222244200;23.12.2024;27.12.2024;23.12.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2512C;MINISTERUL FINANTELOR;RO64QFS99TG0;MINISTERUL  FINANTELOR;8609468;7156171;100;715617100;23.12.2024;27.12.2024;23.12.2025;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2602A;MINISTERUL FINANTELOR;ROJWWBRZM2H3;MINISTERUL  FINANTELOR;8609468;11620088;100;1162008800;19.02.2025;20.02.2025;19.02.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2602B;MINISTERUL FINANTELOR;ROI7LXXKKAZ5;MINISTERUL  FINANTELOR;8609468;5378288;100;537828800;19.02.2025;20.02.2025;19.02.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2603A;MINISTERUL FINANTELOR;ROK43NCW9LU1;MINISTERUL  FINANTELOR;8609468;7602285;100;760228500;19.03.2025;20.03.2025;19.03.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2603AE;MINISTERUL FINANTELOR;ROVJSKSV4CU2;MINISTERUL  FINANTELOR;8609468;1405172;100;140517200;24.03.2021;25.03.2021;24.03.2026;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2603B;MINISTERUL FINANTELOR;ROPNCN54BRS7;MINISTERUL  FINANTELOR;8609468;3275275;100;327527500;19.03.2025;20.03.2025;19.03.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2604A;MINISTERUL FINANTELOR;ROLSO2QZDWZ5;MINISTERUL  FINANTELOR;8609468;1793644;100;179364400;13.04.2023;18.04.2023;13.04.2026;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
